gene_name	gene_id	genome_id	start	stop	strand	assembly
FlgA	SOER01000049.1_8	SOER01000049.1	6471	7439	-1	GB_GCA_021646405.1
FlgD	SOER01000049.1_12	SOER01000049.1	11436	11849	-1	GB_GCA_021646405.1
FlgE	SOER01000049.1_11	SOER01000049.1	9800	11404	-1	GB_GCA_021646405.1
FlgF	SOER01000049.1_10	SOER01000049.1	8281	9000	-1	GB_GCA_021646405.1
FlgG	SOER01000049.1_9	SOER01000049.1	7477	8262	-1	GB_GCA_021646405.1
FlgH	SOER01000049.1_7	SOER01000049.1	5702	6364	-1	GB_GCA_021646405.1
FlgI	SOER01000049.1_6	SOER01000049.1	4465	5628	-1	GB_GCA_021646405.1
FlgJ	SOER01000049.1_5	SOER01000049.1	4130	4444	-1	GB_GCA_021646405.1
FlgK	SOER01000049.1_3	SOER01000049.1	1405	3576	-1	GB_GCA_021646405.1
FlgL	SOER01000049.1_2	SOER01000049.1	487	1389	-1	GB_GCA_021646405.1
FlgN	SOER01000049.1_4	SOER01000049.1	3599	4114	-1	GB_GCA_021646405.1
FliK	SOER01000049.1_13	SOER01000049.1	11864	13543	-1	GB_GCA_021646405.1
