gene_name	gene_id	genome_id	start	stop	strand	assembly
DUF1217	NZ_NSGF01000004.1_219	NZ_NSGF01000004.1	230337	231113	-1	RS_GCF_002294995.1
DUF3383	NZ_NSGF01000018.1_50	NZ_NSGF01000018.1	38289	40247	-1	RS_GCF_002294995.1
FlaF	NZ_NSGF01000004.1_193	NZ_NSGF01000004.1	206533	206880	-1	RS_GCF_002294995.1
FlbB	NZ_NSGF01000004.1_209	NZ_NSGF01000004.1	223175	223762	-1	RS_GCF_002294995.1
FlbT	NZ_NSGF01000004.1_192	NZ_NSGF01000004.1	206099	206536	-1	RS_GCF_002294995.1
FlgA	NZ_NSGF01000004.1_211	NZ_NSGF01000004.1	225009	225533	-1	RS_GCF_002294995.1
FlgB	NZ_NSGF01000004.1_215	NZ_NSGF01000004.1	227086	227466	-1	RS_GCF_002294995.1
FlgC	NZ_NSGF01000004.1_214	NZ_NSGF01000004.1	226667	227083	-1	RS_GCF_002294995.1
FlgD	NZ_NSGF01000004.1_191	NZ_NSGF01000004.1	205689	206096	-1	RS_GCF_002294995.1
FlgE	NZ_NSGF01000004.1_196	NZ_NSGF01000004.1	209452	210708	-1	RS_GCF_002294995.1
FlgF	NZ_NSGF01000004.1_218	NZ_NSGF01000004.1	229607	230329	-1	RS_GCF_002294995.1
FlgG	NZ_NSGF01000004.1_212	NZ_NSGF01000004.1	225540	226328	-1	RS_GCF_002294995.1
FlgH	NZ_NSGF01000004.1_208	NZ_NSGF01000004.1	222474	223178	-1	RS_GCF_002294995.1
FlgI	NZ_NSGF01000004.1_210	NZ_NSGF01000004.1	223771	225012	-1	RS_GCF_002294995.1
FlgJ	NZ_NSGF01000004.1_170	NZ_NSGF01000004.1	185092	185661	-1	RS_GCF_002294995.1
FlgK	NZ_NSGF01000004.1_195	NZ_NSGF01000004.1	207965	209419	-1	RS_GCF_002294995.1
FlgL	NZ_NSGF01000004.1_194	NZ_NSGF01000004.1	206912	207961	-1	RS_GCF_002294995.1
FlhA	NZ_NSGF01000004.1_174	NZ_NSGF01000004.1	187958	190045	-1	RS_GCF_002294995.1
FlhB	NZ_NSGF01000004.1_224	NZ_NSGF01000004.1	234606	235688	1	RS_GCF_002294995.1
FlhB	NZ_NSGF01000022.1_70	NZ_NSGF01000022.1	79788	80624	1	RS_GCF_002294995.1
FliC	NZ_NSGF01000004.1_205	NZ_NSGF01000004.1	220111	220995	-1	RS_GCF_002294995.1
FliC	NZ_NSGF01000004.1_204	NZ_NSGF01000004.1	218950	219822	-1	RS_GCF_002294995.1
FliE	NZ_NSGF01000004.1_213	NZ_NSGF01000004.1	226338	226667	-1	RS_GCF_002294995.1
FliF	NZ_NSGF01000004.1_203	NZ_NSGF01000004.1	217109	218767	-1	RS_GCF_002294995.1
FliG	NZ_NSGF01000004.1_223	NZ_NSGF01000004.1	233565	234581	1	RS_GCF_002294995.1
FliK	NZ_NSGF01000004.1_199	NZ_NSGF01000004.1	212213	213610	-1	RS_GCF_002294995.1
FliL	NZ_NSGF01000004.1_207	NZ_NSGF01000004.1	221961	222455	-1	RS_GCF_002294995.1
FliL	NZ_NSGF01000004.1_168	NZ_NSGF01000004.1	184105	184629	-1	RS_GCF_002294995.1
FliM	NZ_NSGF01000004.1_221	NZ_NSGF01000004.1	232169	233104	1	RS_GCF_002294995.1
FliN	NZ_NSGF01000004.1_222	NZ_NSGF01000004.1	233135	233521	1	RS_GCF_002294995.1
FliO	NZ_NSGF01000003.1_252	NZ_NSGF01000003.1	248598	249308	1	RS_GCF_002294995.1
FliP	NZ_NSGF01000004.1_206	NZ_NSGF01000004.1	221233	221964	-1	RS_GCF_002294995.1
FliQ	NZ_NSGF01000004.1_190	NZ_NSGF01000004.1	205400	205678	-1	RS_GCF_002294995.1
FliR	NZ_NSGF01000004.1_173	NZ_NSGF01000004.1	187209	187961	-1	RS_GCF_002294995.1
LdtR	NZ_NSGF01000017.1_6	NZ_NSGF01000017.1	4912	5427	1	RS_GCF_002294995.1
MotA	NZ_NSGF01000004.1_220	NZ_NSGF01000004.1	231259	232134	1	RS_GCF_002294995.1
MotB	NZ_NSGF01000004.1_201	NZ_NSGF01000004.1	215043	216482	-1	RS_GCF_002294995.1
Transglutaminase	NZ_NSGF01000017.1_61	NZ_NSGF01000017.1	55630	56235	-1	RS_GCF_002294995.1
Transglutaminase	NZ_NSGF01000001.1_19	NZ_NSGF01000001.1	17442	18059	1	RS_GCF_002294995.1
Transglutaminase	NZ_NSGF01000016.1_70	NZ_NSGF01000016.1	67806	68483	-1	RS_GCF_002294995.1
Transglutaminase	NZ_NSGF01000004.1_171	NZ_NSGF01000004.1	186118	186705	1	RS_GCF_002294995.1
Transglutaminase	NZ_NSGF01000005.1_229	NZ_NSGF01000005.1	291896	292495	-1	RS_GCF_002294995.1
Transglutaminase	NZ_NSGF01000030.1_37	NZ_NSGF01000030.1	49639	50640	-1	RS_GCF_002294995.1
