gene_name	gene_id	genome_id	start	stop	strand
K03413	NZ_LKEH01000018.1_391	NZ_LKEH01000018.1	414584	414958	1
K03412	AP018536.1_1501	AP018536.1	1652412	1653494	1
K03406	NZ_LT906480.1_2719	NZ_LT906480.1	2907100	2909364	1
K04061	CAIQBO010000013.1_3	CAIQBO010000013.1	1416	1688	1
K00928	NZ_KB849755.1_408	NZ_KB849755.1	396954	398234	1
K03569	NC_000964.3_3752	NC_000964.3	3747254	3748255	-1
K02341	NZ_LPVF01000002.1_8	NZ_LPVF01000002.1	5385	6374	1
K03415	NZ_LT906436.1_681	NZ_LT906436.1	705268	706176	1
K10942	NZ_LKBW01000321.1_11	NZ_LKBW01000321.1	9303	10517	-1
K03496	NC_008570.1_1371	NC_008570.1	1523861	1524655	1
K13584	NZ_CP071454.1_879	NZ_CP071454.1	892377	893078	1
K03706	NZ_QUHR01000002.1_364	NZ_QUHR01000002.1	363444	364217	-1
K01872	NZ_LR590469.1_3901	NZ_LR590469.1	4306714	4309341	1
K00575	NZ_CP066796.1_2534	NZ_CP066796.1	2781460	2782317	1
K02391	NZ_JACIDY010000001.1_682	NZ_JACIDY010000001.1	707550	708290	-1
K03407	NC_004722.1_1558	NC_004722.1	1583869	1585887	1
K02242	NZ_CP045295.1_3767	NZ_CP045295.1	4271749	4272777	1
K13587	JADCBP010000001.1_13	JADCBP010000001.1	14944	17541	-1
K02397	NZ_FNPR01000007.1_12	NZ_FNPR01000007.1	10257	11264	1
K03414	NZ_CP049015.1_2790	NZ_CP049015.1	2918310	2918957	-1
K06204	NZ_CP056047.1_1506	NZ_CP056047.1	1604314	1604733	-1
K02967	NZ_LSBB01000020.1_792	NZ_LSBB01000020.1	765301	766032	1
K03801	NZ_CP058907.1_3177	NZ_CP058907.1	3482828	3483565	1
K03411	NZ_CP023317.1_4003	NZ_CP023317.1	3941120	3941614	-1
K03602	NZ_CDBK01000014.1_73	NZ_CDBK01000014.1	77792	78043	-1
K03408	NZ_UAWH01000014.1_604	NZ_UAWH01000014.1	674097	674495	1
K01940	NZ_BBIQ01000016.1_51	NZ_BBIQ01000016.1	63197	64414	1
K01465	NC_002942.5_2982	NC_002942.5	3353112	3354149	1
K03581	JAFYYR010000002.1_59	JAFYYR010000002.1	66391	68742	1
K00566	NZ_FREX01000002.1_109	NZ_FREX01000002.1	128243	129445	-1
K06313	NZ_PXZL01000013.1_358	NZ_PXZL01000013.1	352424	353791	1
K02423	NZ_MACG01000022.1_96	NZ_MACG01000022.1	83705	83977	-1
K04096	BMSW01000021.1_46	BMSW01000021.1	42556	43758	-1
K09808	NZ_CP011372.1_1155	NZ_CP011372.1	1118145	1119347	-1
K02413	NZ_CP044218.1_594	NZ_CP044218.1	679962	680432	-1
K03683	NZ_JACGUT010000028.1_36	NZ_JACGUT010000028.1	38325	39038	1
K03088	NZ_LT629693.1_4830	NZ_LT629693.1	5147129	5147674	1
K01939	NZ_BMOP01000001.1_69	NZ_BMOP01000001.1	89900	91195	1
K20976	NZ_CP027712.1_1632	NZ_CP027712.1	1845510	1845854	1
K20978	NZ_ATDK01000303.1_5	NZ_ATDK01000303.1	3819	4121	-1
K21603	NC_009668.1_1471	NC_009668.1	1623087	1623770	-1
K03733	NZ_LQMT02000010.1_132	NZ_LQMT02000010.1	145344	146339	-1
K06949	NZ_CP007511.1_3600	NZ_CP007511.1	3852721	3853752	1
K09667	UCFC01000015.1_202	UCFC01000015.1	202805	204724	-1
K06886	JAHFQM010000001.1_15	JAHFQM010000001.1	17625	18038	1
K01126	NZ_LKEG01000022.1_45	NZ_LKEG01000022.1	52515	53237	-1
K02414	CAITMU010000064.1_20	CAITMU010000064.1	22065	24458	1
K02390	USJI01000212.1_1	USJI01000212.1	2	1096	-1
K03667	SKLB01000040.1_5	SKLB01000040.1	2132	3556	-1
K00344	NZ_CP081966.1_249	NZ_CP081966.1	279266	280246	-1
K03181	NZ_MUFB01000002.1_39	NZ_MUFB01000002.1	38137	38703	1
K03529	RGBY01000009.1_14	RGBY01000009.1	16254	19976	1
K06213	NZ_JYLM01000005.1_4	NZ_JYLM01000005.1	1966	3408	-1
K00945	FOUN01000003.1_94	FOUN01000003.1	87345	88019	1
K02529	NZ_ML133570.1_12	NZ_ML133570.1	12650	13693	1
K02913	MNTL01000048.1_79	MNTL01000048.1	100085	100234	1
K03151	NZ_PYOM01000001.1_113	NZ_PYOM01000001.1	128484	129935	1
K12132	JADJJE010000012.1_255	JADJJE010000012.1	290593	292533	1
K07126	NZ_JPVZ01000012.1_58	NZ_JPVZ01000012.1	56918	58237	-1
K13590	NCGX01000020.1_2	NCGX01000020.1	441	2030	-1
K21420	QCQB01000029.1_4	QCQB01000029.1	3637	4365	-1
K00997	NC_017741.1_577	NC_017741.1	592357	592713	1
K00946	CAIZDL010000040.1_9	CAIZDL010000040.1	5913	6938	1
K03220	NZ_LUAV01000022.1_161	NZ_LUAV01000022.1	180567	181568	-1
K04487	NZ_LVWI01000002.1_371	NZ_LVWI01000002.1	455609	456760	-1
K03702	NZ_BIMJ01000048.1_3	NZ_BIMJ01000048.1	4129	6120	-1
K01873	NZ_UGIA01000001.1_203	NZ_UGIA01000001.1	211290	213908	1
K03111	NZ_LIKT01000013.1_3	NZ_LIKT01000013.1	1296	1820	-1
K02441	NZ_CP014944.1_1992	NZ_CP014944.1	2292671	2293543	-1
K15894	NZ_SRRY01000001.1_1413	NZ_SRRY01000001.1	1585545	1586546	-1
K02621	DENS01000009.1_109	DENS01000009.1	108606	110837	1
K13292	DLKK01000070.1_23	DLKK01000070.1	24313	25281	-1
K00995	DPEO01000056.1_9	DPEO01000056.1	7180	7719	1
K07056	JAGAAX010000039.1_52	JAGAAX010000039.1	57734	58441	1
K03704	NZ_CP019687.1_3335	NZ_CP019687.1	3115276	3115473	-1
